Store,ABC_Class,XYZ_Class,Avg_Daily_Sales,Std_Daily_Sales,Total_Revenue,Days_In_Data,CV,Store_MAPE,Safety_Stock,Reorder_Point,EOQ_Days,Annual_SS_Cost,Current_SS,Current_SS_Cost,SS_Reduction,Annual_Cost_Saving,Inventory_Policy
16,A,Y,7617.765217391305,1905.3280517671428,4380215,575,0.25011640519155043,7.680674285329739,40194.273543074996,93518.63006481412,7.6,10048.568385768749,106648.71304347826,26662.178260869565,66454.43950040327,16613.609875100818,Safety stock + promo buffer. Weekly review. 99% SL.
17,A,Y,6388.2923875432525,2571.6291748231447,3692433,578,0.40255345541754656,7.680674285329739,36255.57401391335,80973.62072671612,8.3,9063.893503478337,89436.09342560553,22359.023356401383,53180.519411692185,13295.129852923046,Safety stock + promo buffer. Weekly review. 99% SL.
18,A,Y,6468.392733564014,1795.4532165367218,3738731,578,0.2775733154266047,7.680674285329739,34517.52669158006,79796.27582652816,8.2,8629.381672895015,90557.4982698962,22639.37456747405,56039.97157831614,14009.992894579034,Safety stock + promo buffer. Weekly review. 99% SL.
19,A,Y,6396.692708333333,1854.2350259593748,3684495,576,0.28987401935749674,7.680674285329739,34318.12857595681,79094.97753429014,8.3,8579.532143989203,89553.69791666666,22388.424479166664,55235.569340709844,13808.892335177461,Safety stock + promo buffer. Weekly review. 99% SL.
20,A,Y,7615.057553956834,1661.7372213540332,3175479,417,0.2182172898339532,7.680674285329739,39703.7587861853,93009.16166388313,7.6,9925.939696546326,106610.80575539568,26652.70143884892,66907.04696921038,16726.761742302595,Safety stock + promo buffer. Weekly review. 99% SL.
21,A,Y,5432.466086956521,1799.461738669376,3123668,575,0.3312421485685711,7.680674285329739,29710.836511305788,67738.09912000144,9.0,7427.709127826447,76054.5252173913,19013.631304347826,46343.688706085515,11585.922176521379,Safety stock + promo buffer. Weekly review. 99% SL.
22,C,Y,4486.244019138756,1140.8904922786487,1875250,418,0.25430861259697385,7.680674285329739,13068.354110414934,44472.06224438622,9.9,3267.0885276037334,62807.41626794258,15701.854066985645,49739.062157527645,12434.765539381911,Min-max + buffer. Monthly review. 90% SL.
23,A,Y,5522.598958333333,1645.3401172689398,3181017,576,0.29792858936211575,7.680674285329739,29735.44755129985,68393.64025963318,8.9,7433.861887824963,77316.38541666666,19329.096354166664,47580.93786536681,11895.234466341703,Safety stock + promo buffer. Weekly review. 99% SL.
24,A,Y,9273.647569444445,2634.1671326119786,5341621,576,0.2840486564629912,7.680674285329739,49625.88332699274,114541.41631310387,6.9,12406.470831748185,129831.06597222223,32457.76649305556,80205.18264522949,20051.295661307373,Safety stock + promo buffer. Weekly review. 99% SL.
25,A,Y,11213.145454545454,3066.8256944878567,6167230,550,0.2735027122335832,7.680674285329739,59733.54435123725,138225.56253305543,6.2,14933.386087809313,156984.03636363638,39246.009090909094,97250.49201239913,24312.623003099783,Safety stock + promo buffer. Weekly review. 99% SL.
26,A,Y,6642.321799307959,2083.5380712942656,3839262,578,0.31367617141213217,7.680674285329739,36024.32810834373,82520.58070349944,8.1,9006.082027085933,92992.50519031142,23248.126297577855,56968.17708196769,14242.044270491922,Safety stock + promo buffer. Weekly review. 99% SL.
27,A,Y,9438.776041666666,2971.619222523048,5436735,576,0.3148309917943905,7.680674285329739,51218.497074322826,117289.92936598949,6.8,12804.624268580706,132142.8645833333,33035.71614583333,80924.36750901048,20231.09187725262,Safety stock + promo buffer. Weekly review. 99% SL.
28,B,Y,5487.922535211268,2249.951737123589,3117140,568,0.40998241551107695,7.680674285329739,22117.391528170403,60532.84927464928,8.9,5529.347882042601,76830.91549295775,19207.728873239437,54713.523964787346,13678.380991196836,Standard + variability buffer. Fortnightly. 95% SL.
29,A,Y,7129.383680555556,2150.192102320405,4106525,576,0.30159578985554775,7.680674285329739,38450.7580741009,88356.44383798979,7.8,9612.689518525225,99811.37152777778,24952.842881944445,61360.61345367688,15340.15336341922,Safety stock + promo buffer. Weekly review. 99% SL.
30,B,Y,5532.116521739131,1553.5650185579084,3180967,575,0.2808265177446975,12.765271085182594,21894.541255546756,60619.35690772067,8.9,5473.635313886689,77449.63130434783,19362.407826086957,55555.090048801074,13888.772512200268,Standard + variability buffer. Fortnightly. 95% SL.
31,A,Y,5894.634482758621,1396.1214288375197,3418888,580,0.2368461408287611,7.680674285329739,30943.453172273068,72205.89455158342,8.6,7735.863293068267,82524.88275862069,20631.220689655172,51581.42958634762,12895.357396586905,Safety stock + promo buffer. Weekly review. 99% SL.
32,C,Y,4054.761336515513,1293.87013034359,1698945,419,0.3190989611870686,7.680674285329739,12151.479711819318,40534.80906742791,10.4,3037.8699279548296,56766.658711217184,14191.664677804296,44615.17899939787,11153.794749849467,Min-max + buffer. Monthly review. 90% SL.
33,A,Y,8444.696180555555,1814.2923947424156,4864145,576,0.21484401048316434,7.680674285329739,43977.38790457589,103090.26116846477,7.2,10994.346976143972,118225.74652777777,29556.43663194444,74248.35862320187,18562.089655800468,Safety stock + promo buffer. Weekly review. 99% SL.
34,A,X,8010.884482758621,1555.3898229425329,4646313,580,0.19415956206709903,7.680674285329739,41431.50558306106,97507.69696237141,7.4,10357.876395765265,112152.38275862069,28038.095689655172,70720.87717555964,17680.21929388991,Lean automated reordering. Weekly cycle. 99% SL.
35,A,Y,9425.864583333334,2822.4769594892746,5429298,576,0.299439582919527,7.680674285329739,50786.566474163956,116767.6185574973,6.8,12696.641618540989,131962.1041666667,32990.52604166667,81175.53769250272,20293.88442312568,Safety stock + promo buffer. Weekly review. 99% SL.
36,A,X,9275.730952380953,1301.8935123184042,3895807,420,0.14035481613276268,7.680674285329739,47259.09735459308,112189.21402125974,6.9,11814.77433864827,129860.23333333334,32465.058333333334,82601.13597874026,20650.283994685065,Lean automated reordering. Weekly cycle. 99% SL.
37,A,Y,7220.979202772964,1963.1068398955022,4166505,577,0.27186158341816574,7.680674285329739,38440.229522690555,88987.08394210131,7.8,9610.057380672639,101093.70883882149,25273.427209705373,62653.479316130935,15663.369829032734,Safety stock + promo buffer. Weekly review. 99% SL.
38,A,Y,5968.149305555556,1825.9430845740687,3437654,576,0.3059479565758112,7.680674285329739,32252.076705512063,74029.12184440096,8.6,8063.019176378016,83554.09027777778,20888.522569444445,51302.013572265714,12825.503393066429,Safety stock + promo buffer. Weekly review. 99% SL.
39,B,Y,4743.743055555556,1764.5830052905949,2732396,576,0.3719811517244875,7.680674285329739,18730.156220482913,51936.3576093718,9.6,4682.539055120728,66412.40277777778,16603.100694444445,47682.24655729487,11920.561639323718,Standard + variability buffer. Fortnightly. 95% SL.
40,B,Y,5096.371080139373,1155.6275751407584,2925317,574,0.22675499035858176,7.680674285329739,18849.68988425104,54524.28744522665,9.3,4712.42247106276,71349.19512195121,17837.298780487803,52499.50523770017,13124.876309425043,Standard + variability buffer. Fortnightly. 95% SL.
41,B,Y,5135.497619047619,1325.3008547506904,2156909,420,0.2580666866313275,7.680674285329739,19224.486352387572,55172.969685720906,9.2,4806.121588096893,71896.96666666667,17974.24166666667,52672.480314279106,13168.120078569777,Standard + variability buffer. Fortnightly. 95% SL.
42,A,Y,10119.159722222223,2480.6553563631414,5828636,576,0.24514440175457336,7.680674285329739,53288.80700995423,124122.9250655098,6.6,13322.201752488558,141668.23611111112,35417.05902777778,88379.42910115689,22094.85727528922,Safety stock + promo buffer. Weekly review. 99% SL.
43,A,Y,6940.883680555556,2008.76609896705,3997949,576,0.28941071359465087,7.680674285329739,37230.077724622446,85816.26348851134,7.9,9307.519431155612,97172.37152777778,24293.092881944445,59942.293803155335,14985.573450788834,Safety stock + promo buffer. Weekly review. 99% SL.
44,A,Y,5535.527586206897,1626.5128281816321,3210606,580,0.29383158205813686,7.680674285329739,29750.281865816243,68498.97496926453,8.9,7437.570466454061,77497.38620689655,19374.34655172414,47747.10434108031,11936.776085270078,Safety stock + promo buffer. Weekly review. 99% SL.
45,A,Y,5357.140625,1357.8445410213649,3085713,576,0.2534644199341631,7.680674285329739,28303.90463466368,65803.88900966368,9.0,7075.97615866592,74999.96875,18749.9921875,46696.064115336325,11674.016028834081,Safety stock + promo buffer. Weekly review. 99% SL.
46,B,Y,5335.928571428572,1637.5449315974026,2241090,420,0.30689033964316875,7.680674285329739,20401.997841284978,57753.497841284974,9.1,5100.499460321244,74703.0,18675.75,54301.002158715026,13575.250539678756,Standard + variability buffer. Fortnightly. 95% SL.
47,A,Y,7056.044827586207,1774.4133053767098,4092506,580,0.2514742109403118,7.680674285329739,37250.41175172842,86642.72554483186,7.9,9312.602937932104,98784.6275862069,24696.156896551725,61534.215834478484,15383.553958619621,Safety stock + promo buffer. Weekly review. 99% SL.
48,C,Y,4017.305172413793,920.0247077335548,2330037,580,0.22901538923436057,7.680674285329739,11589.347650964733,39710.48385786128,10.4,2897.3369127411834,56242.27241379311,14060.568103448277,44652.92476282838,11163.231190707094,Min-max + buffer. Monthly review. 90% SL.
49,A,Y,7244.2226086956525,1832.6716306419253,4165428,575,0.2529838920800232,7.680674285329739,38266.78213163375,88976.34039250332,7.8,9566.695532908438,101419.11652173914,25354.779130434785,63152.33439010539,15788.083597526347,Safety stock + promo buffer. Weekly review. 99% SL.
50,B,Y,4218.680555555556,1177.5257030129062,2429960,576,0.2791217982746358,7.680674285329739,15931.790572109567,45462.55446099846,10.2,3982.9476430273917,59061.52777777778,14765.381944444445,43129.737205668214,10782.434301417054,Standard + variability buffer. Fortnightly. 95% SL.
51,B,Y,6559.640476190476,1507.473481571659,2755049,420,0.2298103816883463,7.680674285329739,24288.96470159082,70206.44803492415,8.2,6072.241175397705,91834.96666666666,22958.741666666665,67546.00196507585,16886.500491268962,Standard + variability buffer. Fortnightly. 95% SL.
52,A,Y,7762.476190476191,2051.744921713084,3260240,420,0.2643157764825581,7.680674285329739,41193.10095330627,95530.4342866396,7.5,10298.275238326567,108674.66666666667,27168.666666666668,67481.56571336041,16870.391428340103,Safety stock + promo buffer. Weekly review. 99% SL.
53,B,Y,5273.9034482758625,1512.587189050136,3058864,580,0.286806006951953,7.680674285329739,19983.407320934984,56900.73145886602,9.1,4995.851830233746,73834.64827586207,18458.662068965517,53851.24095492708,13462.81023873177,Standard + variability buffer. Fortnightly. 95% SL.
54,A,Y,7926.44578313253,2151.3847727893644,4605265,581,0.27141859436766846,7.680674285329739,42187.848233277145,97672.96871520486,7.4,10546.962058319286,110970.24096385542,27742.560240963856,68782.39273057829,17195.59818264457,Safety stock + promo buffer. Weekly review. 99% SL.
55,B,Y,4433.366319444444,1556.5331743872334,2553619,576,0.3510950961936947,7.680674285329739,17317.44476323718,48351.00899934829,9.9,4329.361190809295,62067.12847222222,15516.782118055555,44749.68370898504,11187.42092724626,Standard + variability buffer. Fortnightly. 95% SL.
56,A,Y,7075.652249134948,1722.1191970282123,4089727,578,0.24338663580290487,7.680674285329739,37235.96019571684,86765.52593966149,7.9,9308.99004892921,99059.13148788927,24764.78287197232,61823.17129217243,15455.792823043108,Safety stock + promo buffer. Weekly review. 99% SL.
57,A,Y,11052.81625441696,3923.4450237862866,6255894,566,0.3549724281554384,7.680674285329739,61167.53843967944,138537.25222059817,6.3,15291.88460991986,154739.42756183745,38684.85689045936,93571.88912215801,23392.972280539503,Safety stock + promo buffer. Weekly review. 99% SL.
58,B,Y,6067.7648456057,1673.264993187837,2554529,421,0.27576299275994887,7.680674285329739,22881.92352279817,65356.277442038074,8.5,5720.4808806995425,84948.70783847981,21237.176959619952,62066.78431568164,15516.69607892041,Standard + variability buffer. Fortnightly. 95% SL.
59,A,Y,5509.51384083045,1942.6488805541585,3184499,578,0.3525989654762974,7.680674285329739,30453.54249264573,69020.13937845889,8.9,7613.385623161433,77133.1937716263,19283.298442906576,46679.65127898057,11669.912819745143,Safety stock + promo buffer. Weekly review. 99% SL.
60,A,Y,7864.53125,2689.1828218729424,4529970,576,0.3419380934970463,7.680674285329739,43238.84361059943,98290.56236059943,7.5,10809.710902649858,110103.4375,27525.859375,66864.59388940057,16716.14847235014,Safety stock + promo buffer. Weekly review. 99% SL.
61,B,Y,4646.6904347826085,1178.3974877748444,2671847,575,0.2535993099419748,7.680674285329739,17363.47321761408,49890.30626109234,9.7,4340.86830440352,65053.66608695652,16263.41652173913,47690.19286934244,11922.54821733561,Standard + variability buffer. Fortnightly. 95% SL.
62,A,Y,6468.595486111111,1862.8900365447905,3725911,576,0.2879898798038384,7.680674285329739,34675.05027516043,79955.21867793822,8.2,8668.762568790107,90560.33680555556,22640.08420138889,55885.28653039513,13971.321632598783,Safety stock + promo buffer. Weekly review. 99% SL.
63,A,Y,6875.101724137931,1854.13790282474,3987559,580,0.2696887954857468,7.680674285329739,36565.60050139333,84691.31257035886,8.0,9141.400125348333,96251.42413793104,24062.85603448276,59685.82363653771,14921.455909134427,Safety stock + promo buffer. Weekly review. 99% SL.
64,A,Y,10203.586805555555,2592.3093366339444,5877266,576,0.2540586350696314,7.680674285329739,53922.39386554377,125347.50150443264,6.6,13480.598466385942,142850.21527777775,35712.55381944444,88927.82141223399,22231.955353058496,Safety stock + promo buffer. Weekly review. 99% SL.
65,B,Y,5112.242634315425,1813.5159499570448,2949764,577,0.3547398039725262,7.680674285329739,20006.185624965914,55791.88406517389,9.3,5001.5464062414785,71571.39688041595,17892.849220103988,51565.211255450035,12891.302813862509,Standard + variability buffer. Fortnightly. 95% SL.
66,A,X,6089.598260869565,1183.5851682577045,3501519,575,0.1943617817719053,7.680674285329739,31496.83353766947,74124.02136375643,8.5,7874.208384417368,85254.37565217391,21313.593913043478,53757.54211450444,13439.38552862611,Lean automated reordering. Weekly cycle. 99% SL.
67,A,Y,7745.224347826087,2206.6106824575472,4453504,575,0.28489951786572765,7.680674285329739,41462.24414923188,95678.8145840145,7.5,10365.56103730797,108433.14086956522,27108.285217391305,66970.89672033335,16742.724180083336,Safety stock + promo buffer. Weekly review. 99% SL.
68,A,Y,7584.898275862069,1980.7848399144762,4399241,580,0.26114850428753417,7.680674285329739,40198.48536930298,93292.77330033746,7.6,10049.621342325745,106188.57586206896,26547.14396551724,65990.09049276597,16497.522623191493,Safety stock + promo buffer. Weekly review. 99% SL.
69,A,Y,9550.636678200692,2302.0758802082164,5520268,578,0.24103899643284513,7.680674285329739,50215.34767166907,117069.80441907392,6.8,12553.836917917268,133708.91349480968,33427.22837370242,83493.56582314061,20873.391455785153,Safety stock + promo buffer. Weekly review. 99% SL.
70,A,Y,6603.062068965517,1732.8978962322062,3829776,580,0.26243852899351805,7.680674285329739,35013.41676025196,81234.85124301058,8.1,8753.35419006299,92442.86896551723,23110.71724137931,57429.452205265276,14357.363051316319,Safety stock + promo buffer. Weekly review. 99% SL.
71,A,Y,9093.720486111111,2649.2942029736932,5237983,576,0.2913322668120243,7.680674285329739,48819.161166385085,112475.20456916286,6.9,12204.790291596271,127312.08680555556,31828.02170138889,78492.92563917048,19623.23140979262,Safety stock + promo buffer. Weekly review. 99% SL.
72,C,Y,4429.9928741092635,1803.3898047966054,1865027,421,0.4070863895371868,7.680674285329739,13891.692312349922,44901.64243111477,9.9,3472.9230780874805,62019.90023752969,15504.975059382423,48128.20792517977,12032.051981294942,Min-max + buffer. Monthly review. 90% SL.
73,B,Y,4550.803448275862,1368.6354774405727,2639466,580,0.30074589970680893,7.680674285329739,17351.19150087764,49206.81563880868,9.8,4337.79787521941,63711.24827586207,15927.812068965517,46360.05677498443,11590.014193746107,Standard + variability buffer. Fortnightly. 95% SL.
74,A,Y,6308.691637630662,1787.6953537643408,3621189,574,0.2833702226149289,7.680674285329739,33749.60842762388,77910.44989103852,8.3,8437.40210690597,88321.68292682926,22080.420731707316,54572.07449920538,13643.018624801345,Safety stock + promo buffer. Weekly review. 99% SL.
75,A,Y,6032.479310344827,1347.0658260875734,3498838,580,0.22330218750647862,7.680674285329739,31509.417296430205,73736.77246884399,8.5,7877.354324107551,84454.71034482759,21113.677586206897,52945.29304839738,13236.323262099346,Safety stock + promo buffer. Weekly review. 99% SL.
76,A,Y,8949.194774346794,2129.273992092422,3767611,421,0.23792911494071697,7.680674285329739,46997.386409079656,109641.74982950721,7.0,11749.346602269914,125288.72684085512,31322.18171021378,78291.34043177546,19572.835107943865,Safety stock + promo buffer. Weekly review. 99% SL.
77,A,Y,7548.9602076124565,1979.9345901021077,4363299,578,0.26227911336789395,7.680674285329739,40026.524311837646,92869.24576512484,7.6,10006.631077959411,105685.44290657439,26421.360726643597,65658.91859473675,16414.729648684188,Safety stock + promo buffer. Weekly review. 99% SL.
78,C,Y,3701.1421143847488,1114.8202928382643,2135559,577,0.30120980453720947,7.680674285329739,10999.949850219477,36907.944650912716,10.9,2749.987462554869,51815.989601386485,12953.997400346621,40816.03975116701,10204.009937791752,Min-max + buffer. Monthly review. 90% SL.
79,A,Y,5436.1686956521735,1560.9075838849262,3125797,575,0.2871337648394418,7.680674285329739,29129.738070167477,67182.91893973268,9.0,7282.434517541869,76106.36173913043,19026.590434782607,46976.62366896295,11744.155917240738,Safety stock + promo buffer. Weekly review. 99% SL.
80,A,Y,7548.579861111111,1781.7526517089802,4347982,576,0.23603812697117252,7.680674285329739,39613.65283061992,92453.7118583977,7.6,9903.41320765498,105680.11805555556,26420.02951388889,66066.46522493564,16516.61630623391,Safety stock + promo buffer. Weekly review. 99% SL.
81,A,X,6821.754761904762,1295.0520411770112,2865137,420,0.1898414830754497,7.680674285329739,35233.389983549154,82985.67331688249,8.0,8808.347495887288,95504.56666666667,23876.141666666666,60271.17668311751,15067.794170779378,Lean automated reordering. Weekly cycle. 99% SL.
82,A,Y,8991.109375,2876.5876088682853,5178879,576,0.31993689420203336,7.680674285329739,48907.05073048565,111844.81635548564,7.0,12226.762682621413,125875.53125,31468.8828125,76968.48051951436,19242.12012987859,Safety stock + promo buffer. Weekly review. 99% SL.
83,C,Y,3880.3298611111113,914.1191581791958,2235070,576,0.23557769336585285,7.680674285329739,11221.512501410722,38383.8215291885,10.6,2805.3781253526804,54324.61805555556,13581.15451388889,43103.105554144844,10775.776388536211,Min-max + buffer. Monthly review. 90% SL.
84,A,Y,12893.491319444445,3040.9542958567677,7426651,576,0.23585188995867695,7.680674285329739,67658.09065989731,157912.52989600843,5.8,16914.522664974327,180508.87847222225,45127.21961805556,112850.78781232494,28212.696953081235,Safety stock + promo buffer. Weekly review. 99% SL.
85,A,Y,7236.558404558405,2274.621656898879,5080064,702,0.31432367843062864,7.680674285329739,39259.0543717424,89914.96320365123,7.8,9814.7635929356,101311.81766381767,25327.954415954417,62052.763292075266,15513.190823018816,Safety stock + promo buffer. Weekly review. 99% SL.
86,B,Y,4719.170138888889,1414.8290462571263,2718242,576,0.29980462763952026,7.680674285329739,17985.450642201362,51019.641614423585,9.6,4496.3626605503405,66068.38194444444,16517.09548611111,48082.93130224307,12020.732825560768,Standard + variability buffer. Fortnightly. 95% SL.
87,A,Y,5903.027586206897,1720.3155399798209,3423756,580,0.2914293580466295,7.680674285329739,31691.45978955963,73012.65289300791,8.6,7922.864947389908,82642.38620689655,20660.59655172414,50950.92641733692,12737.73160433423,Safety stock + promo buffer. Weekly review. 99% SL.
88,A,Y,6038.060658578856,2523.140559456109,3483961,577,0.4178726750403276,7.680674285329739,34560.24507053449,76826.66968058649,8.5,8640.061267633622,84532.84922010399,21133.212305025998,49972.6041495695,12493.151037392376,Safety stock + promo buffer. Weekly review. 99% SL.
89,B,Y,5929.8452380952385,1312.0268211179518,2490535,420,0.22125818945308529,7.680674285329739,21889.016930886577,63397.933597553245,8.6,5472.254232721644,83017.83333333334,20754.458333333336,61128.81640244677,15282.204100611692,Standard + variability buffer. Fortnightly. 95% SL.
90,A,Y,8412.010434782609,2051.013336672387,4836906,575,0.24381963771605702,7.680674285329739,44276.01283891464,103160.0858823929,7.2,11069.00320972866,117768.14608695652,29442.03652173913,73492.13324804188,18373.03331201047,Safety stock + promo buffer. Weekly review. 99% SL.
91,A,Y,5849.548611111111,1707.2795418895494,3369340,576,0.2918651771944596,7.680674285329739,31410.429274300208,72357.26955207798,8.7,7852.607318575052,81893.68055555556,20473.42013888889,50483.251281255354,12620.812820313839,Safety stock + promo buffer. Weekly review. 99% SL.
92,A,Y,5868.824652777777,1822.0120933545732,3380443,576,0.3104560454864153,7.680674285329739,31781.514316361536,72863.28688580598,8.6,7945.378579090384,82163.54513888888,20540.88628472222,50382.03082252734,12595.507705631835,Safety stock + promo buffer. Weekly review. 99% SL.
93,A,Y,5992.586805555556,1993.6679422000143,3451730,576,0.33268903845526976,7.680674285329739,32797.30959954207,74745.41723843096,8.5,8199.327399885518,83896.21527777778,20974.053819444445,51098.90567823571,12774.726419558927,Safety stock + promo buffer. Weekly review. 99% SL.
94,A,Y,7072.444444444444,2022.7751605039273,4073728,576,0.28600792503826034,7.680674285329739,37879.02612489286,87386.13723600397,7.9,9469.756531223215,99014.22222222222,24753.555555555555,61135.19609732936,15283.79902433234,Safety stock + promo buffer. Weekly review. 99% SL.
95,A,Y,7881.251736111111,2514.2278283879646,4539601,576,0.31901376996600966,7.680674285329739,42851.22285739928,98019.98501017707,7.5,10712.80571434982,110337.52430555556,27584.38107638889,67486.30144815627,16871.575362039068,Safety stock + promo buffer. Weekly review. 99% SL.
96,B,Y,5157.256944444444,2287.7946084354835,2970580,576,0.44360686952003936,7.680674285329739,21184.246752881347,57285.04536399245,9.2,5296.061688220337,72201.59722222222,18050.399305555555,51017.350469340876,12754.337617335219,Standard + variability buffer. Fortnightly. 95% SL.
97,A,Y,6659.810763888889,2037.5239903088107,3836051,576,0.3059432260983691,7.680674285329739,35989.759834064316,82608.43518128654,8.1,8997.439958516079,93237.35069444444,23309.33767361111,57247.59086038012,14311.89771509503,Safety stock + promo buffer. Weekly review. 99% SL.
98,B,Y,5025.217013888889,1289.020628480847,2894525,576,0.2565104402293875,7.680674285329739,18799.846980589682,53976.3660778119,9.3,4699.9617451474205,70353.03819444444,17588.25954861111,51553.191213854756,12888.297803463689,Standard + variability buffer. Fortnightly. 95% SL.
99,C,Y,4937.357142857143,1283.6935266001983,2073690,420,0.25999608484010783,7.680674285329739,14415.469808271046,48976.969808271046,9.4,3603.8674520677614,69123.0,17280.75,54707.530191728954,13676.882547932239,Min-max + buffer. Monthly review. 90% SL.
100,A,Y,7905.710396039604,1763.565678820747,3193907,404,0.22307491553247535,7.680674285329739,41290.483811772545,96630.45658404977,7.4,10322.620952943136,110679.94554455446,27669.986386138615,69389.46173278191,17347.36543319548,Safety stock + promo buffer. Weekly review. 99% SL.
101,A,Y,7418.401724137931,1687.5346589664202,4302673,580,0.2274795463658344,7.680674285329739,38807.17555626523,90735.98762523074,7.7,9701.793889066308,103857.62413793102,25964.406034482756,65050.44858166579,16262.612145416448,Safety stock + promo buffer. Weekly review. 99% SL.
102,A,Y,7022.260563380281,2446.4640615897306,3988644,568,0.34838696734603714,7.680674285329739,38732.722026691095,87888.54597035307,7.9,9683.180506672774,98311.64788732394,24577.911971830985,59578.925860632844,14894.731465158211,Safety stock + promo buffer. Weekly review. 99% SL.
103,C,Y,4556.051522248244,1057.6700041670902,1945434,427,0.23214619040242304,7.680674285329739,13158.753319353218,45051.11397509092,9.8,3289.6883298383045,63784.72131147541,15946.180327868853,50625.9679921222,12656.49199803055,Min-max + buffer. Monthly review. 90% SL.
104,A,X,10085.341379310345,1428.3679325077276,5849498,580,0.1416281193453664,7.680674285329739,51399.59974670769,121996.9894018801,6.6,12849.899936676922,141194.77931034483,35298.69482758621,89795.17956363715,22448.79489090929,Lean automated reordering. Weekly cycle. 99% SL.
